sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.2116;0.1053;9.6553;-1.8463;-0.4877;9.6189;-1.212;0.4966;-0.0722;-0.0758;-0.025;-0.4858;4.2;-15.91;-41.25;-16.91;155.26;1.89;11.58;2.0;56.671;;;;NaN;;;;0 / 0;129067;2021-03-12 21:39:46:445
-0.5909;-0.0384;8.3761;-1.0467;0.4345;9.7409;0.5047;-0.9999;0.1394;0.3071;0.1785;0.567;3.6;-19.69;-41.95;-15.52;152.42;-2.54;6.13;2.0;48.948;;;;NaN;;;;0 / 0;129566;2021-03-12 21:39:46:944
-0.4137;-0.6996;11.3033;-1.1882;-0.9565;9.6873;0.2154;0.6042;0.1915;-0.691;0.1789;0.2931;3.6;-24.61;-33.88;-23.07;142.33;5.6;6.99;2.0;56.049;;;;NaN;;;;0 / 0;130067;2021-03-12 21:39:47:445
-3.0104;-1.1882;8.9941;-1.7202;-0.6475;9.6329;-0.5944;0.31;-0.9703;-1.7427;0.81;-0.5908;3.6;-24.87;-35.6;-21.66;142.76;-4.18;3.1;2.0;40.975;;;;NaN;;;;0 / 0;130567;2021-03-12 21:39:47:945
-1.7887;-0.3163;9.7128;-2.205;-1.1092;9.4909;0.1437;0.8305;0.0762;-0.0581;-0.4833;0.0299;4.0;-19.64;-36.74;-24.31;146.44;3.52;14.13;2.0;53.546;;;;NaN;;;;0 / 0;131067;2021-03-12 21:39:48:445
-0.8449;-1.0493;9.3582;-1.033;-1.2873;9.6668;0.1736;0.74;1.2146;0.2805;0.1551;0.0613;3.3;-21.57;-40.82;-21.33;150.77;7.54;6.1;2.0;59.796;;;;NaN;;;;0 / 0;131567;2021-03-12 21:39:48:945
-0.4616;-0.8145;10.4697;-1.8472;-1.573;9.5018;0.0812;0.4852;-0.4656;-1.1265;-0.6515;0.2848;3.0;-15.86;-39.54;-26.46;154.2;0.79;8.07;2.0;54.096;;;;NaN;;;;0 / 0;132067;2021-03-12 21:39:49:445
0.4104;0.4598;8.4336;-1.603;1.9338;9.4795;0.7828;-3.7023;1.1423;2.5031;-0.5626;-1.0137;4.0;-9.49;-50.43;-13.38;166.77;11.74;14.68;2.0;53.182;;;;NaN;;;;0 / 0;132566;2021-03-12 21:39:49:944
-1.9899;3.5404;5.5973;-1.5051;4.3503;8.6591;0.1287;-0.5959;-2.4381;-0.434;-0.3584;-2.1198;4.3;13.14;-46.04;2.81;196.7;-18.1;6.58;2.0;58.255;;;;NaN;;;;0 / 0;133068;2021-03-12 21:39:50:446
0.4966;1.4707;7.3173;-1.446;0.9575;9.6521;-1.2454;-4.1406;2.5065;4.4241;-0.6013;-1.4863;3.3;28.51;-18.93;-6.85;237.2;-5.6;8.52;2.0;66.349;;;;NaN;;;;0 / 0;133567;2021-03-12 21:39:50:945
0.9517;-0.4792;8.5438;-1.3912;-1.6508;9.5661;1.8338;-2.0847;3.3484;4.1779;-1.0086;-2.4154;5.8;25.47;4.13;-6.48;272.52;15.36;11.04;2.0;63.739;;;;NaN;;;;0 / 0;134066;2021-03-12 21:39:51:444
-1.4964;1.2839;9.5307;-1.7226;0.2497;9.6509;-1.27;-0.9554;0.5442;3.4471;-0.982;-0.3636;2.7;0.28;20.79;-17.74;5.87;10.93;5.65;2.0;63.273;;;;NaN;;;;0 / 0;134567;2021-03-12 21:39:51:945
-3.82;1.7965;6.407;-1.8113;2.4478;9.3219;-5.8617;-2.9279;3.0843;4.9183;-1.2064;0.2011;2.7;-15.13;11.94;-27.01;76.1;16.26;15.86;2.0;61.228;;;;NaN;;;;0 / 0;135067;2021-03-12 21:39:52:445
1.9483;3.253;8.1844;-2.3495;1.8259;9.3443;2.14;-1.6913;0.4441;2.1692;-0.2325;0.7223;3.0;5.19;16.23;-17.23;357.88;-10.73;14.11;2.0;40.682;;;;NaN;;;;0 / 0;135567;2021-03-12 21:39:52:945
-1.712;0.6275;7.2837;-0.9752;2.0255;9.5455;0.1342;-2.5833;-0.8271;1.3492;-1.6514;-3.1635;3.0;-18.39;12.86;-22.67;61.2;1.17;13.8;2.0;47.519;;;;NaN;;;;0 / 0;136067;2021-03-12 21:39:53:445
-0.7682;-0.5271;9.2384;-0.6873;-1.2262;9.7054;0.1552;0.8663;-0.225;-0.977;0.0724;1.1119;3.0;-29.17;11.84;-16.64;70.92;5.74;4.86;2.0;45.95;;;;NaN;;;;0 / 0;136567;2021-03-12 21:39:53:945
-0.4328;-0.8002;9.9667;-0.0498;-0.8995;9.7652;-0.3644;-0.1383;-0.6142;0.0596;-0.6792;1.1913;3.0;-11.51;22.97;-12.06;28.95;5.26;0.29;2.0;63.759;;;;NaN;;;;0 / 0;137067;2021-03-12 21:39:54:445
0.075;-0.8002;9.7128;0.1001;-1.2625;9.7245;0.7404;-0.5946;0.5003;0.4077;0.5888;0.2694;3.0;-2.87;22.39;-10.03;8.03;7.4;-0.59;2.0;63.305;;;;NaN;;;;0 / 0;137567;2021-03-12 21:39:54:945
-1.8605;3.2242;9.7559;-2.9515;2.4149;9.0348;0.8412;-1.0694;-0.5634;-0.762;-0.1982;-1.7429;2.7;-6.06;13.56;-23.8;28.28;-17.67;11.87;2.0;60.92;;;;NaN;;;;0 / 0;138067;2021-03-12 21:39:55:445
-3.1301;-2.3908;12.2232;-2.344;-1.1555;9.452;-0.7136;-1.2166;2.5705;1.4324;-0.3159;2.1612;3.0;-9.49;22.95;-8.52;28.81;15.57;17.87;2.0;58.009;;;;NaN;;;;0 / 0;138567;2021-03-12 21:39:55:945
-1.8126;0.6467;8.3186;-2.6221;0.2824;9.4454;0.6771;1.4724;-0.3045;-0.7368;0.8009;-0.1483;3.3;11.17;16.8;-10.01;336.42;-8.61;14.49;2.0;52.792;;;;NaN;;;;0 / 0;139068;2021-03-12 21:39:56:446
-3.8057;0.5892;8.3234;-2.3048;2.1999;9.2746;-1.5372;-1.5431;-0.6966;-0.503;-0.0944;-0.2261;3.3;-1.6;16.45;-17.41;19.1;-6.27;14.21;2.0;51.552;;;;NaN;;;;0 / 0;139567;2021-03-12 21:39:56:945
-0.0304;0.3449;9.454;-1.8008;0.8899;9.5987;1.5155;-1.2504;0.555;1.8337;0.4457;1.7046;3.0;12.62;14.73;-6.92;318.97;7.99;8.25;2.0;51.375;;;;NaN;;;;0 / 0;140067;2021-03-12 21:39:57:445
-0.4712;-0.254;10.9344;-1.824;0.9373;9.5898;1.1382;-1.4793;2.1647;2.0363;-0.7165;-0.5281;3.0;19.95;9.95;-2.09;296.82;4.53;17.46;2.0;49.675;;;;NaN;;;;0 / 0;140568;2021-03-12 21:39:57:946
-2.6175;-0.2636;9.9427;-0.7622;2.1725;9.5326;-1.1632;-0.0277;2.0958;-1.5938;1.0314;-0.8804;2.4;5.55;17.98;-11.24;348.09;-24.96;7.64;2.0;49.289;;;;NaN;;;;0 / 0;141067;2021-03-12 21:39:58:445
-0.0544;1.9738;14.6043;0.3435;1.325;9.7107;-0.9758;2.1419;2.2948;-2.336;-1.9565;-0.4443;2.1;-14.67;19.56;-11.48;37.36;-21.97;9.24;2.0;55.778;;;;NaN;;;;0 / 0;141568;2021-03-12 21:39:58:946
-2.4019;3.1572;7.6095;-2.7295;1.7062;9.2633;1.0825;1.5032;-2.2654;-2.0125;-0.3919;-0.2648;2.7;-13.82;19.25;-11.25;39.79;-10.02;16.42;2.0;53.634;;;;NaN;;;;0 / 0;142067;2021-03-12 21:39:59:445
-1.1084;2.6493;6.383;-1.5934;4.4565;8.589;1.0967;-1.3949;-2.3665;-1.6151;-0.3309;2.264;2.4;0.72;17.11;-17.57;5.65;-27.03;10.51;2.0;44.631;;;;NaN;;;;0 / 0;142568;2021-03-12 21:39:59:946
1.4165;3.4973;13.8905;-1.0274;2.3611;9.4625;0.7875;0.3817;1.7885;0.4658;-0.8674;-1.3333;7.9;-6.78;20.79;-13.75;351.37;-12.68;8.52;2.0;48.607;;;;NaN;;;;0 / 0;143067;2021-03-12 21:40:00:445
0.9038;2.1175;10.6182;0.3379;1.2744;9.7176;-0.8744;0.3451;1.1824;-0.7601;-0.9513;-0.9884;6.4;-38.31;2.53;-7.24;83.76;-11.84;1.45;2.0;53.938;;;;NaN;;;;0 / 0;143567;2021-03-12 21:40:00:945
-0.3466;2.6685;9.0612;-0.7908;1.6105;9.6411;0.7781;-0.9722;-0.3332;1.4534;0.2646;0.4721;3.3;-39.28;-8.91;-10.53;100.82;-9.45;4.69;2.0;46.36;;;;NaN;;;;0 / 0;144067;2021-03-12 21:40:01:445
-1.0461;2.7212;9.272;-0.7317;2.7359;9.3888;0.0638;0.2759;-0.3571;-0.8752;0.2033;-1.2553;2.7;-39.36;-14.52;-11.35;107.05;-16.2;4.46;2.0;47.196;;;;NaN;;;;0 / 0;144567;2021-03-12 21:40:01:945
-0.7634;2.8649;9.799;-0.5601;1.9494;9.5946;-0.4768;1.5287;-0.6424;-1.5465;-0.5466;-0.9266;2.5;-32.74;-36.64;-7.72;136.38;-11.47;3.34;2.0;37.336;;;;NaN;;;;0 / 0;145067;2021-03-12 21:40:02:445
1.1003;1.1593;10.6278;-0.6873;2.4398;9.4734;0.6248;-0.2773;-0.8684;-0.8548;-0.0543;-0.5838;1.8;-27.0;-43.22;-4.12;146.51;-14.41;4.15;2.0;53.264;;;;NaN;;;;0 / 0;145567;2021-03-12 21:40:02:945
0.4056;3.5356;11.0542;-0.9003;1.8895;9.5807;0.837;0.2825;0.0066;0.9425;-0.6474;-0.0044;2.1;-18.19;-47.4;-3.3;158.36;-11.11;5.37;2.0;52.32;;;;NaN;;;;0 / 0;146068;2021-03-12 21:40:03:446
-1.1898;4.0004;7.3796;-0.6177;3.4739;9.1499;0.019;0.1182;-1.1967;-0.6117;0.1146;-0.0658;1.8;-17.8;-46.5;-3.53;156.55;-20.75;3.86;2.0;64.906;;;;NaN;;;;0 / 0;146568;2021-03-12 21:40:03:946
-2.3636;-3.2004;11.38;-1.8277;-2.0024;9.4245;-0.5597;-0.5984;2.3391;0.542;-0.0095;-0.6462;4.5;-4.35;-40.01;-20.83;169.05;13.56;12.4;2.0;59.43;;;;NaN;;;;0 / 0;147066;2021-03-12 21:40:04:444
-0.0448;-0.2013;10.7476;-1.7576;-1.3588;9.5517;1.4724;1.0956;1.0563;-0.5227;-0.3589;0.2899;4.0;-6.22;-43.71;-18.25;167.93;5.26;12.26;2.0;59.539;;;;NaN;;;;0 / 0;147567;2021-03-12 21:40:04:945
-0.8305;-1.5571;9.6457;-2.4885;-0.8845;9.4443;-0.337;0.1816;1.0925;-0.1282;0.2006;1.0474;4.3;-12.71;-41.07;-23.17;156.57;5.17;14.76;2.0;66.882;;;;NaN;;;;0 / 0;148067;2021-03-12 21:40:05:445
-1.07;0.8192;8.3713;-1.0876;0.9758;9.6972;-0.2175;-1.1884;0.094;0.2146;0.5377;-1.3562;3.9;-6.81;-48.06;-13.45;169.77;-5.71;6.4;2.0;56.748;;;;NaN;;;;0 / 0;148567;2021-03-12 21:40:05:945
-1.4916;-1.3511;11.2123;-1.7493;-0.7747;9.6182;-1.6001;-2.0233;2.8252;3.705;-0.8083;-1.5106;7.3;13.09;-35.94;-18.84;188.47;22.37;18.73;2.0;49.462;;;;NaN;;;;0 / 0;149067;2021-03-12 21:40:06:445
-0.2987;0.5892;9.6792;-1.8652;-1.1365;9.5603;0.4697;0.6289;-1.304;1.088;-0.6684;-0.2087;5.2;19.96;-33.93;-12.51;205.65;6.65;11.04;2.0;58.798;;;;NaN;;;;0 / 0;149568;2021-03-12 21:40:06:946
0.2475;0.3928;4.9649;-1.4781;2.0035;9.4853;2.6183;-3.309;1.7199;0.3424;1.8925;-0.8741;3.6;27.38;-26.5;-1.66;226.33;-11.79;8.86;2.0;67.41;;;;NaN;;;;0 / 0;150067;2021-03-12 21:40:07:445
-2.4642;2.1846;7.3987;-1.2107;-0.4455;9.7214;-1.1151;-0.4092;1.0562;3.0023;-0.201;-1.8933;3.0;14.87;10.59;-16.33;308.27;2.6;7.1;2.0;58.994;;;;NaN;;;;0 / 0;150567;2021-03-12 21:40:07:945
-2.1097;0.2586;10.12;-1.6741;0.2758;9.6588;-0.2343;-0.9586;2.0283;3.0501;-0.9923;-1.3603;3.1;13.39;17.49;-5.33;321.19;16.6;15.44;2.0;62.353;;;;NaN;;;;0 / 0;151067;2021-03-12 21:40:08:445
-1.7887;2.2948;9.3534;-2.4448;2.1338;9.2542;0.5265;0.1013;0.0849;2.4533;-0.5596;-1.0746;3.6;-2.25;18.81;-14.71;19.34;2.11;17.78;2.0;58.382;;;;NaN;;;;0 / 0;151567;2021-03-12 21:40:08:945
-2.445;0.2251;5.5159;-3.224;-0.8686;9.2207;2.2966;-1.6206;-0.1863;3.598;-0.3092;-0.6294;3.1;-8.43;19.48;-14.17;34.09;5.08;19.27;2.0;57.346;;;;NaN;;;;0 / 0;152067;2021-03-12 21:40:09:445
-0.4712;-0.5415;8.424;-1.9541;0.2044;9.6078;-0.8374;-1.9017;1.7137;3.4634;-0.3736;0.6661;4.3;-2.51;19.53;-13.16;15.28;-1.19;11.5;2.0;57.194;;;;NaN;;;;0 / 0;152567;2021-03-12 21:40:09:945
0.3816;2.5918;7.2215;-0.8471;-0.2096;9.7678;-0.1373;1.2263;8.783;0.5238;-1.2449;-1.3206;8.5;-0.54;22.72;-2.37;3.4;-4.36;11.18;2.0;44.675;;;;NaN;;;;0 / 0;153067;2021-03-12 21:40:10:445
-2.4019;1.7055;14.7672;-2.8409;-0.9583;9.3371;1.0494;1.8082;-0.6383;1.7741;-1.3345;-0.8972;58.9;-13.78;24.98;-1.87;29.12;5.61;16.92;2.0;50.632;;;;NaN;;;;0 / 0;153568;2021-03-12 21:40:10:946
-0.5814;-0.0911;6.5411;-2.9026;1.0115;9.3125;2.2131;-2.5565;-1.4906;2.4806;-0.4073;-0.4423;400.3;-3.56;20.53;-10.19;17.35;-5.92;17.31;2.0;57.222;;;;NaN;;;;0 / 0;154067;2021-03-12 21:40:11:445
-0.3035;1.2168;6.5795;-2.003;1.1996;9.5247;1.709;-0.8464;-1.8195;2.2152;-1.4991;-0.3502;115.9;-23.43;12.25;-9.11;63.01;-7.03;11.88;2.0;55.279;;;;NaN;;;;0 / 0;154568;2021-03-12 21:40:11:946
2.5759;0.3928;10.1727;0.1838;-0.0671;9.8047;2.4413;0.453;0.3312;-0.0844;0.015;-0.1023;39.3;-20.55;14.21;-1.58;56.34;-0.68;1.71;2.0;56.945;;;;NaN;;;;0 / 0;155067;2021-03-12 21:40:12:445
-0.0591;-0.7475;9.3199;-0.0607;-0.5647;9.7902;-0.8501;-0.8359;0.2256;-0.0676;0.4613;0.2294;109.7;-30.51;8.71;-0.85;73.92;3.3;0.36;2.0;54.37;;;;NaN;;;;0 / 0;155567;2021-03-12 21:40:12:945
-2.239;0.364;11.3896;-1.3359;0.4639;9.7041;-0.7498;0.4042;0.5988;0.5958;0.4445;-0.5417;1430.2;-37.1;-1.92;-8.28;93.13;1.52;8.32;2.0;47.581;;;;NaN;;;;0 / 0;156067;2021-03-12 21:40:13:445
-0.9934;1.5666;9.2816;-1.3452;1.4829;9.6001;0.3103;0.5553;-0.4885;-0.2077;0.094;-0.9982;2297.2;-40.43;-13.92;-6.61;108.56;-8.7;7.98;2.0;47.559;;;;NaN;;;;0 / 0;156567;2021-03-12 21:40:13:945
0.7314;0.4838;10.647;-1.5885;-0.0859;9.6768;1.2831;0.1495;-1.0323;-0.4678;-0.0771;0.4006;1157.2;-41.14;-13.63;-8.59;108.33;-2.08;6.11;2.0;53.903;;;;NaN;;;;0 / 0;157066;2021-03-12 21:40:14:444
-0.8497;0.6659;10.3643;-0.8611;0.6705;9.7457;0.1018;-0.1646;1.8701;0.6831;0.4324;0.1373;261.2;-43.54;-9.73;-7.74;102.36;-3.65;6.27;2.0;52.547;;;;NaN;;;;0 / 0;157567;2021-03-12 21:40:14:945
-3.2212;-2.4722;13.7276;-1.5538;-1.4546;9.5729;-0.7227;-0.6214;2.2831;-0.3628;0.2225;-2.5578;4.0;-21.83;-43.74;-14.25;151.99;8.53;9.22;2.0;66.789;;;;NaN;;;;0 / 0;158067;2021-03-12 21:40:15:445
-0.2172;2.3427;6.6513;-1.6165;3.757;8.913;2.1943;-0.7467;-2.289;-0.1192;1.7054;0.0284;6.7;-5.94;-48.53;8.08;174.75;-22.53;10.28;2.0;60.664;;;;NaN;;;;0 / 0;158567;2021-03-12 21:40:15:945
-2.6511;-1.2745;13.0616;-1.3819;-1.061;9.6506;-1.0494;0.708;3.9725;0.0427;-0.2891;-0.3992;2.4;-0.04;-44.33;-11.69;177.12;5.66;10.88;2.0;68.108;;;;NaN;;;;0 / 0;159068;2021-03-12 21:40:16:446
-0.04;3.5117;9.1953;-0.7285;4.1252;8.8669;0.9172;-2.924;-3.2571;-0.6017;-0.3284;-0.7422;1.8;-6.71;-49.37;5.26;172.01;-24.88;4.7;2.0;65.199;;;;NaN;;;;0 / 0;159567;2021-03-12 21:40:16:945
-1.276;-0.5031;5.7794;-1.7174;-1.9935;9.4471;1.8298;-3.396;1.1428;1.6169;1.0413;-0.3345;4.2;12.83;-38.86;-12.55;194.56;21.52;8.88;2.0;64.844;;;;NaN;;;;0 / 0;160067;2021-03-12 21:40:17:445
-1.2186;0.0526;15.2463;-0.6256;0.2604;9.7832;-1.6775;1.7329;5.6427;-0.5958;0.3017;1.322;3.0;3.64;-43.86;-12.92;184.15;-1.52;3.66;2.0;62.731;;;;NaN;;;;0 / 0;160567;2021-03-12 21:40:17:945
-1.4389;2.5008;9.5067;-1.7495;2.1695;9.4023;0.2024;0.7639;-1.0393;-1.2145;0.6173;0.8791;3.3;-5.41;-50.16;-5.86;172.86;-19.74;6.68;2.0;60.38;;;;NaN;;;;0 / 0;161067;2021-03-12 21:40:18:445
-2.766;0.4407;7.2742;-0.8963;1.3881;9.6665;-0.162;-1.6098;1.1581;0.1968;1.2012;-0.1416;3.3;-10.48;-49.04;-14.08;166.69;-1.84;6.35;2.0;57.019;;;;NaN;;;;0 / 0;161567;2021-03-12 21:40:18:945
-1.07;2.6781;7.7005;-1.0406;1.6876;9.6041;1.6663;0.6375;-1.7527;0.0098;0.3284;0.7561;3.0;-30.93;-38.83;-18.55;138.81;-8.5;1.19;2.0;58.49;;;;NaN;;;;0 / 0;162066;2021-03-12 21:40:19:444
-0.888;1.2839;11.1596;-2.0798;1.2059;9.5074;1.125;0.7497;2.2027;-0.4053;-1.1521;-2.6021;3.6;-16.89;-44.19;-22.67;152.5;-7.06;12.34;2.0;47.501;;;;NaN;;;;0 / 0;162566;2021-03-12 21:40:19:944
1.795;-0.3307;10.0242;-0.7297;0.8577;9.7418;0.1655;-1.5646;-1.0278;-0.3824;0.5301;0.4942;3.3;9.68;-46.59;-15.01;192.8;-10.12;0.33;2.0;39.026;;;;NaN;;;;0 / 0;163067;2021-03-12 21:40:20:445
-3.9877;2.0648;4.9314;-4.1069;1.9946;8.679;-0.0318;2.1443;3.2811;0.4868;-0.581;-0.2612;5.8;15.28;-47.69;-1.49;197.53;-9.89;6.56;2.0;54.336;;;;NaN;;;;0 / 0;163567;2021-03-12 21:40:20:945
10.4331;8.087;9.3965;0.4679;3.4277;9.1762;0.0292;-2.1108;-0.9199;0.5118;-1.1336;-0.0534;3.4;5.3;-51.83;-3.66;184.95;-20.87;12.06;2.0;50.559;;;;NaN;;;;0 / 0;164067;2021-03-12 21:40:21:445
3.3616;0.2107;16.7267;2.7688;2.0503;9.1815;0.1456;-1.9482;8.1371;-1.1239;-1.6576;-0.2012;2.4;21.42;-29.96;-18.75;223.68;-12.07;-16.78;2.0;68.879;;;;NaN;;;;0 / 0;164567;2021-03-12 21:40:21:945
2.8633;1.9307;9.5451;2.2927;2.5752;9.1805;0.5547;-0.7458;-0.3235;-0.0729;-0.859;-1.3916;2.4;24.01;-11.39;-21.28;257.34;-16.18;-12.31;2.0;63.621;;;;NaN;;;;0 / 0;165067;2021-03-12 21:40:22:445
-0.2268;2.5583;8.4863;-0.0903;2.2678;9.5404;0.4726;-0.0727;0.5108;0.4298;0.09;-0.311;3.3;16.17;10.4;-20.47;304.94;-6.02;-3.21;2.0;65.356;;;;NaN;;;;0 / 0;165570;2021-03-12 21:40:22:948
-2.6894;-0.6085;11.1452;-2.4412;-2.5384;9.1525;-0.1773;1.3586;0.2731;-1.2974;-0.0078;-1.885;2.7;-6.5;28.2;-6.23;17.72;15.0;14.93;2.0;45.232;;;;NaN;;;;0 / 0;166067;2021-03-12 21:40:23:445
-2.8475;-2.5345;11.5429;-1.1439;-2.4712;9.421;-1.988;-0.0109;2.2708;-3.799;0.4524;-0.0415;2.7;-12.78;22.65;-14.91;37.9;14.6;6.92;2.0;44.058;;;;NaN;;;;0 / 0;166567;2021-03-12 21:40:23:945
0.7649;0.891;11.1261;-1.6512;-0.7249;9.6394;0.4439;0.3583;0.3616;-0.6423;-0.5908;1.4614;3.0;-0.76;22.49;-12.39;7.88;-1.99;10.15;2.0;51.188;;;;NaN;;;;0 / 0;167067;2021-03-12 21:40:24:445
0.511;1.7247;5.0368;-0.3635;5.3579;8.2056;0.6435;-3.5419;-3.0168;3.3188;1.207;0.376;2.4;12.26;4.35;-25.47;308.98;-15.61;-2.13;2.0;48.546;;;;NaN;;;;0 / 0;167567;2021-03-12 21:40:24:945
-0.2364;2.2565;11.1357;-0.4186;1.3991;9.6973;-0.2404;1.1918;0.8883;-0.798;-1.1202;-1.2918;3.0;-1.85;19.08;-16.73;7.34;-8.2;2.47;2.0;59.991;;;;NaN;;;;0 / 0;168068;2021-03-12 21:40:25:446
1.4404;-0.5894;10.7859;-0.5982;2.5463;9.4514;-1.6926;-0.6857;-2.2674;-0.0165;-1.0834;0.1006;3.0;-21.26;13.68;-18.61;50.76;-15.05;3.62;2.0;54.676;;;;NaN;;;;0 / 0;168567;2021-03-12 21:40:25:945
0.5589;2.1367;7.3604;-0.2005;0.6024;9.7861;1.3411;1.3671;-1.2502;0.4073;-0.5881;0.9296;3.3;-5.48;19.17;-13.22;14.92;-3.52;1.17;2.0;41.658;;;;NaN;;;;0 / 0;169067;2021-03-12 21:40:26:445
0.2139;-0.5367;8.1126;1.3169;2.1787;9.4705;0.5938;-1.8621;2.4201;-0.2283;-0.2039;-0.6512;2.7;-1.09;17.04;-16.54;3.04;-9.3;0.12;2.0;55.052;;;;NaN;;;;0 / 0;169572;2021-03-12 21:40:26:950
0.1469;-0.4888;13.9048;-1.0728;-2.8103;9.3339;-0.4087;2.0439;3.69;-0.9041;-1.2707;-0.951;4.0;0.94;22.49;4.97;356.02;16.65;6.56;2.0;55.201;;;;NaN;;;;0 / 0;170067;2021-03-12 21:40:27:445
-0.2172;0.3017;12.3526;-2.892;3.8323;8.551;0.378;-1.4418;-5.327;-0.5767;2.0925;-1.6322;2.1;-10.34;20.17;-10.97;31.48;-23.0;18.69;2.0;52.843;;;;NaN;;;;0 / 0;170567;2021-03-12 21:40:27:945
0.8559;-1.0158;6.6082;-1.425;3.5527;9.0287;3.0921;-4.0849;-0.9374;0.9254;0.181;-1.0547;3.3;-7.67;18.37;-15.94;22.02;-9.31;0.8;2.0;61.282;;;;NaN;;;;0 / 0;171068;2021-03-12 21:40:28:446
1.244;-5.0306;13.3683;1.6395;-2.2812;9.3957;-0.6131;-3.601;3.4116;-3.1529;0.6013;-2.6432;5.8;-37.59;-6.6;2.29;99.78;-6.71;-8.44;2.0;63.3;;;;NaN;;;;0 / 0;171567;2021-03-12 21:40:28:945
-0.2268;-4.0628;12.5634;0.8167;-5.2053;8.2709;-0.3201;3.7981;4.6524;-5.9536;3.0E-4;-0.0028;2.7;-27.31;-35.37;-14.36;146.47;32.06;-5.64;2.0;64.923;;;;NaN;;;;0 / 0;172067;2021-03-12 21:40:29:445
2.643;1.03;7.1113;-0.015;-0.8308;9.7714;1.6758;-0.7625;0.3133;3.0667;0.0696;0.2132;3.0;-32.1;-34.9;-7.79;138.0;4.86;0.09;2.0;65.764;;;;NaN;;;;0 / 0;172567;2021-03-12 21:40:29:945
-0.9119;-0.5558;9.5403;0.8535;-0.3189;9.7642;0.9372;-2.0373;0.0589;0.7766;-1.002;-2.989;2.7;-4.2;-47.76;-4.97;175.78;1.86;-5.0;2.0;63.103;;;;NaN;;;;0 / 0;173067;2021-03-12 21:40:30:445
-0.8401;-0.3163;8.7162;1.158;-0.8102;9.7043;-1.3524;0.5587;-0.9976;-0.6764;-0.2598;-0.4026;2.7;6.73;-43.22;-10.71;190.18;10.62;-4.99;2.0;64.028;;;;NaN;;;;0 / 0;173566;2021-03-12 21:40:30:944
4.3102;-2.2327;12.1801;1.5056;-0.2191;9.6879;1.72;-1.6674;1.2479;1.8564;-1.0157;0.226;2.7;-8.64;-48.33;-7.02;171.65;10.35;-13.19;2.0;59.462;;;;NaN;;;;0 / 0;174067;2021-03-12 21:40:31:445
1.5123;3.8375;13.4737;0.4115;0.687;9.7739;0.322;4.3857;2.6362;0.1096;0.488;0.6833;2.1;-18.02;-46.8;-8.57;157.76;-7.63;4.43;2.0;59.789;;;;NaN;;;;0 / 0;174567;2021-03-12 21:40:31:945
-0.04;1.9163;9.0756;0.1756;0.9922;9.7548;0.4195;1.6732;2.0576;-0.0251;-0.1359;0.2369;2.7;-18.44;-45.58;-8.51;157.52;-7.62;2.83;2.0;59.659;;;;NaN;;;;0 / 0;175067;2021-03-12 21:40:32:445
-2.6079;-3.1094;9.4205;-2.537;-2.5289;9.129;-0.0428;-0.0669;0.4853;-1.5374;1.2981;-0.7591;3.9;-6.38;-40.42;-20.49;169.28;3.09;5.13;2.0;61.871;;;;NaN;;;;0 / 0;175567;2021-03-12 21:40:32:945
-1.2521;-1.126;9.981;-0.9109;-0.8557;9.7267;-0.3808;-0.1723;0.2815;1.795;-1.4184;-0.7707;3.3;-3.19;-43.92;-14.19;171.9;16.01;15.01;2.0;60.618;;;;NaN;;;;0 / 0;176066;2021-03-12 21:40:33:444
-0.1406;-1.4086;10.0194;-0.614;-2.5164;9.4584;-0.3924;-1.9231;1.7095;3.6392;-0.7555;1.7001;4.0;-5.97;-46.54;-9.38;172.15;14.87;3.71;2.0;66.434;;;;NaN;;;;0 / 0;176568;2021-03-12 21:40:33:946
0.1133;-3.4256;11.0878;-3.211;-2.0838;9.0287;2.8105;0.3124;-0.7062;-0.5802;-0.58;-0.7267;3.3;-18.69;-39.08;-20.74;148.49;-4.19;12.56;2.0;62.455;;;;NaN;;;;0 / 0;177067;2021-03-12 21:40:34:445
-0.3466;-2.9561;11.3656;0.014;-2.4434;9.4974;-0.6016;-0.631;1.4836;-0.0243;-0.4278;-1.7416;3.0;-15.25;-41.28;-17.92;158.35;16.25;8.04;2.0;61.602;;;;NaN;;;;0 / 0;177567;2021-03-12 21:40:34:945
