sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.038;-2.9513;12.664;-2.1836;0.3576;9.5538;2.3712;-1.7673;2.2453;2.7294;0.5489;2.6755;3.9;19.37;-29.09;-14.05;208.39;16.79;5.82;5.0;51.992;;;;NaN;;;;0 / 0;10069;2021-03-12 21:37:47:447
-2.493;2.5774;6.9963;-3.6369;1.7858;8.9305;3.5044;-1.2872;2.4357;3.8268;3.0923;1.0092;4.2;2.46;-46.76;-9.55;181.69;14.68;3.34;5.0;62.627;;;;NaN;;;;0 / 0;10568;2021-03-12 21:37:47:946
-2.3492;0.6084;8.3809;-1.2674;2.3199;9.4436;-0.4976;-1.0889;-1.569;-1.0559;-0.7264;0.9868;3.0;-8.05;-51.54;-5.46;169.28;-19.31;17.82;5.0;63.284;;;;NaN;;;;0 / 0;11067;2021-03-12 21:37:48:445
0.2906;-0.7954;14.3744;-1.6969;-1.5998;9.5253;-0.2117;1.4863;-1.1224;-4.5216;-1.1921;0.4705;4.6;2.0;-41.82;-24.86;176.96;9.39;10.1;5.0;61.124;;;;NaN;;;;0 / 0;11567;2021-03-12 21:37:48:945
-1.2856;1.1066;14.7001;-2.0926;-1.461;9.4687;-0.2699;2.4677;1.684;1.0954;-1.252;0.535;4.6;7.39;-45.9;-18.7;186.5;-11.13;6.77;5.0;62.469;;;;NaN;;;;0 / 0;12067;2021-03-12 21:37:49:445
-0.1693;1.8253;7.3891;-1.326;4.2366;8.7443;1.6762;-3.758;1.9286;2.0566;0.076;0.5553;3.9;-1.51;-54.41;0.74;178.03;-12.74;8.89;5.0;63.145;;;;NaN;;;;0 / 0;12567;2021-03-12 21:37:49:945
-1.6641;4.5274;7.8251;-1.4468;4.8345;8.4086;-0.5165;-0.2407;-1.4507;0.5444;-1.5697;-1.9592;2.7;22.24;-40.13;3.62;212.64;-29.54;9.76;5.0;56.97;;;;NaN;;;;0 / 0;13067;2021-03-12 21:37:50:445
-1.8318;-0.0049;14.748;-1.5213;2.7231;9.2974;0.2046;0.5164;-1.4222;-3.8712;-0.3977;-1.4658;2.7;29.16;-0.47;-7.36;276.68;-16.12;9.29;5.0;57.974;;;;NaN;;;;0 / 0;13567;2021-03-12 21:37:50:945
1.5554;0.8958;12.7885;-0.6038;-0.1781;9.7864;2.5628;-0.1789;6.0341;1.6818;-0.7035;0.2557;4.5;26.24;6.82;-6.41;287.28;-2.4;12.74;5.0;58.148;;;;NaN;;;;0 / 0;14067;2021-03-12 21:37:51:445
1.22;-1.0254;10.6087;-1.5561;-0.3602;9.6757;2.017;-0.2774;7.4682;5.9061;-0.865;-1.3668;4.2;24.06;10.3;-3.44;292.86;2.62;12.21;5.0;64.554;;;;NaN;;;;0 / 0;14567;2021-03-12 21:37:51:945
-3.6667;1.0875;12.6352;-0.9574;0.0851;9.7594;-0.6252;-2.6152;1.45;-1.6635;-1.3553;-1.789;2.7;-12.21;15.77;-26.65;41.95;-0.5;5.6;5.0;65.178;;;;NaN;;;;0 / 0;15068;2021-03-12 21:37:52:446
